Instruction,Word,song,valence,arousal,affectcat,songmark,pracwords.thisRepN,pracwords.thisTrialN,pracwords.thisN,pracwords.thisIndex,songtrials.thisRepN,songtrials.thisTrialN,songtrials.thisN,songtrials.thisIndex,words.thisRepN,words.thisTrialN,words.thisN,words.thisIndex,begin.keys,begin.rt,arousalkey.keys,arousalkey.rt,valencekey.keys,valencekey.rt,likekey.keys,likekey.rt,WordResponse.keys,WordResponse.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,return,14.183708301003207,,,,,,,,,024,001,2019_May_13_1509,MusicAffectPsychophysiology2019,3.0.5,60.29326172150312,
,,,,,,,,,,,,,,,,,,,,,3,4.385434288997203,,,,,,,024,001,2019_May_13_1509,MusicAffectPsychophysiology2019,3.0.5,60.29326172150312,
,,,,,,,,,,,,,,,,,,,,,,,4,2.3851707709982293,,,,,024,001,2019_May_13_1509,MusicAffectPsychophysiology2019,3.0.5,60.29326172150312,
,,,,,,,,,,,,,,,,,,,,,,,,,3,3.3843884359957883,,,024,001,2019_May_13_1509,MusicAffectPsychophysiology2019,3.0.5,60.29326172150312,
To what extent did the music make you feel ,HAPPY,,,,,,0,0,0,6,,,,,,,,,,,,,,,,,4,2.367839194004773,024,001,2019_May_13_1509,MusicAffectPsychophysiology2019,3.0.5,60.29326172150312,
To what extent did the music make you feel ,ALERT,,,,,,0,1,1,8,,,,,,,,,,,,,,,,,3,3.0509824900073,024,001,2019_May_13_1509,MusicAffectPsychophysiology2019,3.0.5,60.29326172150312,
To what extent did the music make you feel ,GUILTY,,,,,,0,2,2,5,,,,,,,,,,,,,,,,,1,2.0594693340099184,024,001,2019_May_13_1509,MusicAffectPsychophysiology2019,3.0.5,60.29326172150312,
To what extent did the music make you feel ,ACTIVE,,,,,,0,3,3,9,,,,,,,,,,,,,,,,,3,3.010999076999724,024,001,2019_May_13_1509,MusicAffectPsychophysiology2019,3.0.5,60.29326172150312,
To what extent did the music make you feel ,ANGRY,,,,,,0,4,4,2,,,,,,,,,,,,,,,,,1,1.6684325340029318,024,001,2019_May_13_1509,MusicAffectPsychophysiology2019,3.0.5,60.29326172150312,
To what extent did the music make you feel ,EXCITED,,,,,,0,5,5,7,,,,,,,,,,,,,,,,,2,2.133939048013417,024,001,2019_May_13_1509,MusicAffectPsychophysiology2019,3.0.5,60.29326172150312,
To what extent did the music make you feel ,ANXIOUS ,,,,,,0,6,6,1,,,,,,,,,,,,,,,,,1,1.3682858719985234,024,001,2019_May_13_1509,MusicAffectPsychophysiology2019,3.0.5,60.29326172150312,
To what extent did the music make you feel ,ASHAMED,,,,,,0,7,7,4,,,,,,,,,,,,,,,,,1,1.2683364240074297,024,001,2019_May_13_1509,MusicAffectPsychophysiology2019,3.0.5,60.29326172150312,
To what extent did the music make you feel ,SCARED,,,,,,0,8,8,11,,,,,,,,,,,,,,,,,1,0.9187577419943409,024,001,2019_May_13_1509,MusicAffectPsychophysiology2019,3.0.5,60.29326172150312,
To what extent did the music make you feel ,FRUSTRATED,,,,,,0,9,9,3,,,,,,,,,,,,,,,,,1,1.1012259889976121,024,001,2019_May_13_1509,MusicAffectPsychophysiology2019,3.0.5,60.29326172150312,
To what extent did the music make you feel ,TENDER,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,4,2.584013092011446,024,001,2019_May_13_1509,MusicAffectPsychophysiology2019,3.0.5,60.29326172150312,
To what extent did the music make you feel ,SAD,,,,,,0,11,11,0,,,,,,,,,,,,,,,,,2,4.035080262008705,024,001,2019_May_13_1509,MusicAffectPsychophysiology2019,3.0.5,60.29326172150312,
To what extent did the music make you feel ,ANXIOUS ,30MonoWAV/30MonoH2.wav,2,2,1,6,,,,,0,0,0,5,0,0,0,1,,,3,4.340364100993611,4,3.0557007400057046,4,2.0520648259989684,1,3.0007641739939572,024,001,2019_May_13_1509,MusicAffectPsychophysiology2019,3.0.5,60.29326172150312,
To what extent did the music make you feel ,ALERT,30MonoWAV/30MonoH2.wav,2,2,1,6,,,,,0,0,0,5,0,1,1,8,,,,,,,,,5,1.8180065589986043,024,001,2019_May_13_1509,MusicAffectPsychophysiology2019,3.0.5,60.29326172150312,
To what extent did the music make you feel ,GUILTY,30MonoWAV/30MonoH2.wav,2,2,1,6,,,,,0,0,0,5,0,2,2,5,,,,,,,,,1,2.3674060859921155,024,001,2019_May_13_1509,MusicAffectPsychophysiology2019,3.0.5,60.29326172150312,
To what extent did the music make you feel ,SAD,30MonoWAV/30MonoH2.wav,2,2,1,6,,,,,0,0,0,5,0,3,3,0,,,,,,,,,1,1.4858222420007223,024,001,2019_May_13_1509,MusicAffectPsychophysiology2019,3.0.5,60.29326172150312,
To what extent did the music make you feel ,SCARED,30MonoWAV/30MonoH2.wav,2,2,1,6,,,,,0,0,0,5,0,4,4,11,,,,,,,,,1,1.4839508820004994,024,001,2019_May_13_1509,MusicAffectPsychophysiology2019,3.0.5,60.29326172150312,
