Instruction,Word,song,valence,arousal,affectcat,songmark,pracwords.thisRepN,pracwords.thisTrialN,pracwords.thisN,pracwords.thisIndex,songtrials.thisRepN,songtrials.thisTrialN,songtrials.thisN,songtrials.thisIndex,words.thisRepN,words.thisTrialN,words.thisN,words.thisIndex,begin.keys,begin.rt,arousalkey.keys,arousalkey.rt,valencekey.keys,valencekey.rt,likekey.keys,likekey.rt,WordResponse.keys,WordResponse.rt,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,k,3.5375784110001405,,,,,,,,,,,062,001,2019_May_27_1403,MusicAffectPsychophysiology2019,3.0.5,60.50598627328441,
,,,,,,,,,,,,,,,,,,,,,3,11.050266089005163,,,,,,,,,062,001,2019_May_27_1403,MusicAffectPsychophysiology2019,3.0.5,60.50598627328441,
,,,,,,,,,,,,,,,,,,,,,,,4,3.518151942997065,,,,,,,062,001,2019_May_27_1403,MusicAffectPsychophysiology2019,3.0.5,60.50598627328441,
,,,,,,,,,,,,,,,,,,,,,,,,,3,4.917872680998698,,,,,062,001,2019_May_27_1403,MusicAffectPsychophysiology2019,3.0.5,60.50598627328441,
To what extent did the music make you feel ,EXCITED,,,,,,0,0,0,7,,,,,,,,,,,,,,,,,2,6.254078928999661,,,062,001,2019_May_27_1403,MusicAffectPsychophysiology2019,3.0.5,60.50598627328441,
To what extent did the music make you feel ,TENDER,,,,,,0,1,1,10,,,,,,,,,,,,,,,,,3,2.5853444559979835,,,062,001,2019_May_27_1403,MusicAffectPsychophysiology2019,3.0.5,60.50598627328441,
To what extent did the music make you feel ,ANGRY,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,1,2.816992603999097,,,062,001,2019_May_27_1403,MusicAffectPsychophysiology2019,3.0.5,60.50598627328441,
To what extent did the music make you feel ,ALERT,,,,,,0,3,3,8,,,,,,,,,,,,,,,,,2,2.7996033830058877,,,062,001,2019_May_27_1403,MusicAffectPsychophysiology2019,3.0.5,60.50598627328441,
To what extent did the music make you feel ,SAD,,,,,,0,4,4,0,,,,,,,,,,,,,,,,,2,2.7855570559986518,,,062,001,2019_May_27_1403,MusicAffectPsychophysiology2019,3.0.5,60.50598627328441,
To what extent did the music make you feel ,FRUSTRATED,,,,,,0,5,5,3,,,,,,,,,,,,,,,,,2,3.4181252849957673,,,062,001,2019_May_27_1403,MusicAffectPsychophysiology2019,3.0.5,60.50598627328441,
To what extent did the music make you feel ,GUILTY,,,,,,0,6,6,5,,,,,,,,,,,,,,,,,1,1.9339996540002176,,,062,001,2019_May_27_1403,MusicAffectPsychophysiology2019,3.0.5,60.50598627328441,
To what extent did the music make you feel ,HAPPY,,,,,,0,7,7,6,,,,,,,,,,,,,,,,,3,1.4851302550014225,,,062,001,2019_May_27_1403,MusicAffectPsychophysiology2019,3.0.5,60.50598627328441,
To what extent did the music make you feel ,ASHAMED,,,,,,0,8,8,4,,,,,,,,,,,,,,,,,1,1.835028549998242,,,062,001,2019_May_27_1403,MusicAffectPsychophysiology2019,3.0.5,60.50598627328441,
To what extent did the music make you feel ,SCARED,,,,,,0,9,9,11,,,,,,,,,,,,,,,,,1,3.267854719000752,,,062,001,2019_May_27_1403,MusicAffectPsychophysiology2019,3.0.5,60.50598627328441,
To what extent did the music make you feel ,ACTIVE,,,,,,0,10,10,9,,,,,,,,,,,,,,,,,3,1.5684389550006017,,,062,001,2019_May_27_1403,MusicAffectPsychophysiology2019,3.0.5,60.50598627328441,
To what extent did the music make you feel ,ANXIOUS ,,,,,,0,11,11,1,,,,,,,,,,,,,,,,,2,1.5343168219988002,,,062,001,2019_May_27_1403,MusicAffectPsychophysiology2019,3.0.5,60.50598627328441,
To what extent did the music make you feel ,ACTIVE,30MonoWAV/30MonoT4.wav,2,1,4,16,,,,,0,0,0,15,0,0,0,9,,,3,3.7179409919990576,4,1.8853205010018428,3,2.5671587600008934,3,2.3855109920041286,,,062,001,2019_May_27_1403,MusicAffectPsychophysiology2019,3.0.5,60.50598627328441,
To what extent did the music make you feel ,ASHAMED,30MonoWAV/30MonoT4.wav,2,1,4,16,,,,,0,0,0,15,0,1,1,4,,,,,,,,,1,1.5845469650012092,,,062,001,2019_May_27_1403,MusicAffectPsychophysiology2019,3.0.5,60.50598627328441,
To what extent did the music make you feel ,FRUSTRATED,30MonoWAV/30MonoT4.wav,2,1,4,16,,,,,0,0,0,15,0,2,2,3,,,,,,,,,2,2.085278605001804,,,062,001,2019_May_27_1403,MusicAffectPsychophysiology2019,3.0.5,60.50598627328441,
To what extent did the music make you feel ,SCARED,30MonoWAV/30MonoT4.wav,2,1,4,16,,,,,0,0,0,15,0,3,3,11,,,,,,,,,1,1.1347635150013957,,,062,001,2019_May_27_1403,MusicAffectPsychophysiology2019,3.0.5,60.50598627328441,
To what extent did the music make you feel ,ALERT,30MonoWAV/30MonoT4.wav,2,1,4,16,,,,,0,0,0,15,0,4,4,8,,,,,,,,,1,0.9356425289952313,,,062,001,2019_May_27_1403,MusicAffectPsychophysiology2019,3.0.5,60.50598627328441,
