Instruction,Word,song,valence,arousal,affectcat,songmark,pracwords.thisRepN,pracwords.thisTrialN,pracwords.thisN,pracwords.thisIndex,songtrials.thisRepN,songtrials.thisTrialN,songtrials.thisN,songtrials.thisIndex,words.thisRepN,words.thisTrialN,words.thisN,words.thisIndex,begin.keys,begin.rt,arousalkey.keys,arousalkey.rt,valencekey.keys,valencekey.rt,likekey.keys,likekey.rt,WordResponse.keys,WordResponse.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,space,39.22974057699321,,,,,,,,,086,001,2019_Aug_28_1417,MusicAffectPsychophysiology2019,3.0.5,60.03587947951229,
,,,,,,,,,,,,,,,,,,,,,4,17.83432544200332,,,,,,,086,001,2019_Aug_28_1417,MusicAffectPsychophysiology2019,3.0.5,60.03587947951229,
,,,,,,,,,,,,,,,,,,,,,,,4,7.268210053007351,,,,,086,001,2019_Aug_28_1417,MusicAffectPsychophysiology2019,3.0.5,60.03587947951229,
,,,,,,,,,,,,,,,,,,,,,,,,,4,8.682988426997326,,,086,001,2019_Aug_28_1417,MusicAffectPsychophysiology2019,3.0.5,60.03587947951229,
To what extent did the music make you feel ,GUILTY,,,,,,0,0,0,5,,,,,,,,,,,,,,,,,1,10.000423146004323,086,001,2019_Aug_28_1417,MusicAffectPsychophysiology2019,3.0.5,60.03587947951229,
To what extent did the music make you feel ,TENDER,,,,,,0,1,1,10,,,,,,,,,,,,,,,,,1,1.686077471007593,086,001,2019_Aug_28_1417,MusicAffectPsychophysiology2019,3.0.5,60.03587947951229,
To what extent did the music make you feel ,FRUSTRATED,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,1,5.369106466998346,086,001,2019_Aug_28_1417,MusicAffectPsychophysiology2019,3.0.5,60.03587947951229,
To what extent did the music make you feel ,ASHAMED,,,,,,0,3,3,4,,,,,,,,,,,,,,,,,2,9.884809206996579,086,001,2019_Aug_28_1417,MusicAffectPsychophysiology2019,3.0.5,60.03587947951229,
To what extent did the music make you feel ,ANXIOUS ,,,,,,0,4,4,1,,,,,,,,,,,,,,,,,1,1.5696838109870441,086,001,2019_Aug_28_1417,MusicAffectPsychophysiology2019,3.0.5,60.03587947951229,
To what extent did the music make you feel ,HAPPY,,,,,,0,5,5,6,,,,,,,,,,,,,,,,,4,4.735794100997737,086,001,2019_Aug_28_1417,MusicAffectPsychophysiology2019,3.0.5,60.03587947951229,
To what extent did the music make you feel ,SAD,,,,,,0,6,6,0,,,,,,,,,,,,,,,,,2,9.502079993020743,086,001,2019_Aug_28_1417,MusicAffectPsychophysiology2019,3.0.5,60.03587947951229,
To what extent did the music make you feel ,SCARED,,,,,,0,7,7,11,,,,,,,,,,,,,,,,,1,4.997482284990838,086,001,2019_Aug_28_1417,MusicAffectPsychophysiology2019,3.0.5,60.03587947951229,
To what extent did the music make you feel ,ACTIVE,,,,,,0,8,8,9,,,,,,,,,,,,,,,,,4,2.9014471280097496,086,001,2019_Aug_28_1417,MusicAffectPsychophysiology2019,3.0.5,60.03587947951229,
To what extent did the music make you feel ,ANGRY,,,,,,0,9,9,2,,,,,,,,,,,,,,,,,1,3.635863050003536,086,001,2019_Aug_28_1417,MusicAffectPsychophysiology2019,3.0.5,60.03587947951229,
To what extent did the music make you feel ,EXCITED,,,,,,0,10,10,7,,,,,,,,,,,,,,,,,5,2.84958062399528,086,001,2019_Aug_28_1417,MusicAffectPsychophysiology2019,3.0.5,60.03587947951229,
To what extent did the music make you feel ,ALERT,,,,,,0,11,11,8,,,,,,,,,,,,,,,,,1,6.401722703012638,086,001,2019_Aug_28_1417,MusicAffectPsychophysiology2019,3.0.5,60.03587947951229,
To what extent did the music make you feel ,ACTIVE,30MonoWAV/30MonoF1.wav,1,2,2,1,,,,,0,0,0,0,0,0,0,9,,,3,24.44999383101822,1,7.367473994003376,3,4.601712600997416,4,7.755830446985783,086,001,2019_Aug_28_1417,MusicAffectPsychophysiology2019,3.0.5,60.03587947951229,
To what extent did the music make you feel ,HAPPY,30MonoWAV/30MonoF1.wav,1,2,2,1,,,,,0,0,0,0,0,1,1,6,,,,,,,,,1,2.052829231019132,086,001,2019_Aug_28_1417,MusicAffectPsychophysiology2019,3.0.5,60.03587947951229,
To what extent did the music make you feel ,ASHAMED,30MonoWAV/30MonoF1.wav,1,2,2,1,,,,,0,0,0,0,0,2,2,4,,,,,,,,,1,2.5021724939870182,086,001,2019_Aug_28_1417,MusicAffectPsychophysiology2019,3.0.5,60.03587947951229,
To what extent did the music make you feel ,ALERT,30MonoWAV/30MonoF1.wav,1,2,2,1,,,,,0,0,0,0,0,3,3,8,,,,,,,,,5,1.9016038269910496,086,001,2019_Aug_28_1417,MusicAffectPsychophysiology2019,3.0.5,60.03587947951229,
To what extent did the music make you feel ,EXCITED,30MonoWAV/30MonoF1.wav,1,2,2,1,,,,,0,0,0,0,0,4,4,7,,,,,,,,,1,5.884653585002525,086,001,2019_Aug_28_1417,MusicAffectPsychophysiology2019,3.0.5,60.03587947951229,
To what extent did the music make you feel ,GUILTY,30MonoWAV/30MonoF1.wav,1,2,2,1,,,,,0,0,0,0,0,5,5,5,,,,,,,,,4,2.9855979580024723,086,001,2019_Aug_28_1417,MusicAffectPsychophysiology2019,3.0.5,60.03587947951229,
To what extent did the music make you feel ,TENDER,30MonoWAV/30MonoF1.wav,1,2,2,1,,,,,0,0,0,0,0,6,6,10,,,,,,,,,1,4.084280634997413,086,001,2019_Aug_28_1417,MusicAffectPsychophysiology2019,3.0.5,60.03587947951229,
To what extent did the music make you feel ,ANXIOUS ,30MonoWAV/30MonoF1.wav,1,2,2,1,,,,,0,0,0,0,0,7,7,1,,,,,,,,,5,2.133526161982445,086,001,2019_Aug_28_1417,MusicAffectPsychophysiology2019,3.0.5,60.03587947951229,
To what extent did the music make you feel ,FRUSTRATED,30MonoWAV/30MonoF1.wav,1,2,2,1,,,,,0,0,0,0,0,8,8,3,,,,,,,,,4,5.565815829002531,086,001,2019_Aug_28_1417,MusicAffectPsychophysiology2019,3.0.5,60.03587947951229,
To what extent did the music make you feel ,SCARED,30MonoWAV/30MonoF1.wav,1,2,2,1,,,,,0,0,0,0,0,9,9,11,,,,,,,,,5,1.1848044600046705,086,001,2019_Aug_28_1417,MusicAffectPsychophysiology2019,3.0.5,60.03587947951229,
To what extent did the music make you feel ,SAD,30MonoWAV/30MonoF1.wav,1,2,2,1,,,,,0,0,0,0,0,10,10,0,,,,,,,,,1,6.701726763014449,086,001,2019_Aug_28_1417,MusicAffectPsychophysiology2019,3.0.5,60.03587947951229,
To what extent did the music make you feel ,ANGRY,30MonoWAV/30MonoF1.wav,1,2,2,1,,,,,0,0,0,0,0,11,11,2,,,,,,,,,5,1.9853786560124718,086,001,2019_Aug_28_1417,MusicAffectPsychophysiology2019,3.0.5,60.03587947951229,
,,30MonoWAV/30MonoF1.wav,1,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,086,001,2019_Aug_28_1417,MusicAffectPsychophysiology2019,3.0.5,60.03587947951229,
To what extent did the music make you feel ,ASHAMED,30MonoWAV/30MonoS3.wav,1,1,3,11,,,,,0,1,1,10,0,0,0,4,,,2,3.719649409991689,1,1.9699863819987513,2,4.8358559669868555,3,5.029324211005587,086,001,2019_Aug_28_1417,MusicAffectPsychophysiology2019,3.0.5,60.03587947951229,
To what extent did the music make you feel ,ANXIOUS ,30MonoWAV/30MonoS3.wav,1,1,3,11,,,,,0,1,1,10,0,1,1,1,,,,,,,,,5,1.5856210910133086,086,001,2019_Aug_28_1417,MusicAffectPsychophysiology2019,3.0.5,60.03587947951229,
To what extent did the music make you feel ,ALERT,30MonoWAV/30MonoS3.wav,1,1,3,11,,,,,0,1,1,10,0,2,2,8,,,,,,,,,4,2.5358709080028348,086,001,2019_Aug_28_1417,MusicAffectPsychophysiology2019,3.0.5,60.03587947951229,
To what extent did the music make you feel ,FRUSTRATED,30MonoWAV/30MonoS3.wav,1,1,3,11,,,,,0,1,1,10,0,3,3,3,,,,,,,,,3,4.552810769993812,086,001,2019_Aug_28_1417,MusicAffectPsychophysiology2019,3.0.5,60.03587947951229,
