Instruction,Word,song,valence,arousal,affectcat,songmark,pracwords.thisRepN,pracwords.thisTrialN,pracwords.thisN,pracwords.thisIndex,songtrials.thisRepN,songtrials.thisTrialN,songtrials.thisN,songtrials.thisIndex,words.thisRepN,words.thisTrialN,words.thisN,words.thisIndex,begin.keys,begin.rt,arousalkey.keys,arousalkey.rt,valencekey.keys,valencekey.rt,likekey.keys,likekey.rt,WordResponse.keys,WordResponse.rt,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,space,11.723982013994828,,,,,,,,,,,098,001,2019_Sep_03_1106,MusicAffectPsychophysiology2019,3.0.5,59.95606958110226,
,,,,,,,,,,,,,,,,,,,,,3,9.118580691021634,,,,,,,,,098,001,2019_Sep_03_1106,MusicAffectPsychophysiology2019,3.0.5,59.95606958110226,
,,,,,,,,,,,,,,,,,,,,,,,4,7.368888432014501,,,,,,,098,001,2019_Sep_03_1106,MusicAffectPsychophysiology2019,3.0.5,59.95606958110226,
,,,,,,,,,,,,,,,,,,,,,,,,,4,3.4858861380198505,,,,,098,001,2019_Sep_03_1106,MusicAffectPsychophysiology2019,3.0.5,59.95606958110226,
To what extent did the music make you feel ,ANXIOUS ,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,1,5.809973074006848,,,098,001,2019_Sep_03_1106,MusicAffectPsychophysiology2019,3.0.5,59.95606958110226,
To what extent did the music make you feel ,ACTIVE,,,,,,0,1,1,9,,,,,,,,,,,,,,,,,3,5.577805574983358,,,098,001,2019_Sep_03_1106,MusicAffectPsychophysiology2019,3.0.5,59.95606958110226,
To what extent did the music make you feel ,FRUSTRATED,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,1,2.2903329569962807,,,098,001,2019_Sep_03_1106,MusicAffectPsychophysiology2019,3.0.5,59.95606958110226,
To what extent did the music make you feel ,TENDER,,,,,,0,3,3,10,,,,,,,,,,,,,,,,,2,2.683491578005487,,,098,001,2019_Sep_03_1106,MusicAffectPsychophysiology2019,3.0.5,59.95606958110226,
To what extent did the music make you feel ,GUILTY,,,,,,0,4,4,5,,,,,,,,,,,,,,,,,1,2.3689651430177037,,,098,001,2019_Sep_03_1106,MusicAffectPsychophysiology2019,3.0.5,59.95606958110226,
To what extent did the music make you feel ,SAD,,,,,,0,5,5,0,,,,,,,,,,,,,,,,,1,1.2189721909817308,,,098,001,2019_Sep_03_1106,MusicAffectPsychophysiology2019,3.0.5,59.95606958110226,
To what extent did the music make you feel ,ASHAMED,,,,,,0,6,6,4,,,,,,,,,,,,,,,,,1,0.9691557610058226,,,098,001,2019_Sep_03_1106,MusicAffectPsychophysiology2019,3.0.5,59.95606958110226,
To what extent did the music make you feel ,ALERT,,,,,,0,7,7,8,,,,,,,,,,,,,,,,,4,3.351496375980787,,,098,001,2019_Sep_03_1106,MusicAffectPsychophysiology2019,3.0.5,59.95606958110226,
To what extent did the music make you feel ,ANGRY,,,,,,0,8,8,2,,,,,,,,,,,,,,,,,1,2.0199657840130385,,,098,001,2019_Sep_03_1106,MusicAffectPsychophysiology2019,3.0.5,59.95606958110226,
To what extent did the music make you feel ,SCARED,,,,,,0,9,9,11,,,,,,,,,,,,,,,,,1,0.9746859850129113,,,098,001,2019_Sep_03_1106,MusicAffectPsychophysiology2019,3.0.5,59.95606958110226,
To what extent did the music make you feel ,HAPPY,,,,,,0,10,10,6,,,,,,,,,,,,,,,,,3,2.868235941976309,,,098,001,2019_Sep_03_1106,MusicAffectPsychophysiology2019,3.0.5,59.95606958110226,
To what extent did the music make you feel ,EXCITED,,,,,,0,11,11,7,,,,,,,,,,,,,,,,,4,1.7529122229898348,,,098,001,2019_Sep_03_1106,MusicAffectPsychophysiology2019,3.0.5,59.95606958110226,
To what extent did the music make you feel ,GUILTY,30MonoWAV/30MonoS4.wav,1,1,3,12,,,,,0,0,0,11,0,0,0,5,,,1,4.36817216797499,2,4.436300529021537,2,2.9534497790155,2,4.417764784011524,,,098,001,2019_Sep_03_1106,MusicAffectPsychophysiology2019,3.0.5,59.95606958110226,
To what extent did the music make you feel ,SAD,30MonoWAV/30MonoS4.wav,1,1,3,12,,,,,0,0,0,11,0,1,1,0,,,,,,,,,2,0.9509544860047754,,,098,001,2019_Sep_03_1106,MusicAffectPsychophysiology2019,3.0.5,59.95606958110226,
To what extent did the music make you feel ,ANXIOUS ,30MonoWAV/30MonoS4.wav,1,1,3,12,,,,,0,0,0,11,0,2,2,1,,,,,,,,,1,1.2198845790117048,,,098,001,2019_Sep_03_1106,MusicAffectPsychophysiology2019,3.0.5,59.95606958110226,
To what extent did the music make you feel ,ANGRY,30MonoWAV/30MonoS4.wav,1,1,3,12,,,,,0,0,0,11,0,3,3,2,,,,,,,,,1,1.1852897389908321,,,098,001,2019_Sep_03_1106,MusicAffectPsychophysiology2019,3.0.5,59.95606958110226,
To what extent did the music make you feel ,SCARED,30MonoWAV/30MonoS4.wav,1,1,3,12,,,,,0,0,0,11,0,4,4,11,,,,,,,,,1,1.3029881159891374,,,098,001,2019_Sep_03_1106,MusicAffectPsychophysiology2019,3.0.5,59.95606958110226,
To what extent did the music make you feel ,TENDER,30MonoWAV/30MonoS4.wav,1,1,3,12,,,,,0,0,0,11,0,5,5,10,,,,,,,,,3,2.2358819670043886,,,098,001,2019_Sep_03_1106,MusicAffectPsychophysiology2019,3.0.5,59.95606958110226,
To what extent did the music make you feel ,HAPPY,30MonoWAV/30MonoS4.wav,1,1,3,12,,,,,0,0,0,11,0,6,6,6,,,,,,,,,2,1.4521838020009454,,,098,001,2019_Sep_03_1106,MusicAffectPsychophysiology2019,3.0.5,59.95606958110226,
To what extent did the music make you feel ,ACTIVE,30MonoWAV/30MonoS4.wav,1,1,3,12,,,,,0,0,0,11,0,7,7,9,,,,,,,,,1,4.752481217001332,,,098,001,2019_Sep_03_1106,MusicAffectPsychophysiology2019,3.0.5,59.95606958110226,
To what extent did the music make you feel ,EXCITED,30MonoWAV/30MonoS4.wav,1,1,3,12,,,,,0,0,0,11,0,8,8,7,,,,,,,,,1,1.3693168720055837,,,098,001,2019_Sep_03_1106,MusicAffectPsychophysiology2019,3.0.5,59.95606958110226,
To what extent did the music make you feel ,FRUSTRATED,30MonoWAV/30MonoS4.wav,1,1,3,12,,,,,0,0,0,11,0,9,9,3,,,,,,,,,1,1.5868002679781057,,,098,001,2019_Sep_03_1106,MusicAffectPsychophysiology2019,3.0.5,59.95606958110226,
To what extent did the music make you feel ,ASHAMED,30MonoWAV/30MonoS4.wav,1,1,3,12,,,,,0,0,0,11,0,10,10,4,,,,,,,,,1,1.6358676719828509,,,098,001,2019_Sep_03_1106,MusicAffectPsychophysiology2019,3.0.5,59.95606958110226,
To what extent did the music make you feel ,ALERT,30MonoWAV/30MonoS4.wav,1,1,3,12,,,,,0,0,0,11,0,11,11,8,,,,,,,,,1,2.0363282899779733,,,098,001,2019_Sep_03_1106,MusicAffectPsychophysiology2019,3.0.5,59.95606958110226,
,,30MonoWAV/30MonoS4.wav,1,1,3,12,,,,,0,0,0,11,,,,,,,,,,,,,,,,,098,001,2019_Sep_03_1106,MusicAffectPsychophysiology2019,3.0.5,59.95606958110226,
To what extent did the music make you feel ,TENDER,30MonoWAV/30MonoH3.wav,2,2,1,7,,,,,0,1,1,6,0,0,0,10,,,4,5.868409785005497,4,2.0364243449876085,4,2.8503476319892798,1,2.510542202013312,,,098,001,2019_Sep_03_1106,MusicAffectPsychophysiology2019,3.0.5,59.95606958110226,
To what extent did the music make you feel ,ANXIOUS ,30MonoWAV/30MonoH3.wav,2,2,1,7,,,,,0,1,1,6,0,1,1,1,,,,,,,,,1,1.1520552080182824,,,098,001,2019_Sep_03_1106,MusicAffectPsychophysiology2019,3.0.5,59.95606958110226,
To what extent did the music make you feel ,ALERT,30MonoWAV/30MonoH3.wav,2,2,1,7,,,,,0,1,1,6,0,2,2,8,,,,,,,,,4,2.498867046000669,,,098,001,2019_Sep_03_1106,MusicAffectPsychophysiology2019,3.0.5,59.95606958110226,
To what extent did the music make you feel ,GUILTY,30MonoWAV/30MonoH3.wav,2,2,1,7,,,,,0,1,1,6,0,3,3,5,,,,,,,,,1,1.152662369015161,,,098,001,2019_Sep_03_1106,MusicAffectPsychophysiology2019,3.0.5,59.95606958110226,
To what extent did the music make you feel ,ANGRY,30MonoWAV/30MonoH3.wav,2,2,1,7,,,,,0,1,1,6,0,4,4,2,,,,,,,,,1,1.169348383002216,,,098,001,2019_Sep_03_1106,MusicAffectPsychophysiology2019,3.0.5,59.95606958110226,
To what extent did the music make you feel ,HAPPY,30MonoWAV/30MonoH3.wav,2,2,1,7,,,,,0,1,1,6,0,5,5,6,,,,,,,,,4,1.935992327023996,,,098,001,2019_Sep_03_1106,MusicAffectPsychophysiology2019,3.0.5,59.95606958110226,
To what extent did the music make you feel ,SCARED,30MonoWAV/30MonoH3.wav,2,2,1,7,,,,,0,1,1,6,0,6,6,11,,,,,,,,,1,2.1691865080210846,,,098,001,2019_Sep_03_1106,MusicAffectPsychophysiology2019,3.0.5,59.95606958110226,
To what extent did the music make you feel ,ASHAMED,30MonoWAV/30MonoH3.wav,2,2,1,7,,,,,0,1,1,6,0,7,7,4,,,,,,,,,1,2.9659383870020974,,,098,001,2019_Sep_03_1106,MusicAffectPsychophysiology2019,3.0.5,59.95606958110226,
To what extent did the music make you feel ,EXCITED,30MonoWAV/30MonoH3.wav,2,2,1,7,,,,,0,1,1,6,0,8,8,7,,,,,,,,,4,2.1867319620214403,,,098,001,2019_Sep_03_1106,MusicAffectPsychophysiology2019,3.0.5,59.95606958110226,
