Instruction,Word,song,valence,arousal,affectcat,songmark,pracwords.thisRepN,pracwords.thisTrialN,pracwords.thisN,pracwords.thisIndex,songtrials.thisRepN,songtrials.thisTrialN,songtrials.thisN,songtrials.thisIndex,words.thisRepN,words.thisTrialN,words.thisN,words.thisIndex,begin.keys,begin.rt,arousalkey.keys,arousalkey.rt,valencekey.keys,valencekey.rt,likekey.keys,likekey.rt,WordResponse.keys,WordResponse.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,return,12.30360791401472,,,,,,,,,100,001,2019_Sep_03_1412,MusicAffectPsychophysiology2019,3.0.5,59.917101460635855,
,,,,,,,,,,,,,,,,,,,,,3,4.658459152997239,,,,,,,100,001,2019_Sep_03_1412,MusicAffectPsychophysiology2019,3.0.5,59.917101460635855,
,,,,,,,,,,,,,,,,,,,,,,,3,3.0657123279816005,,,,,100,001,2019_Sep_03_1412,MusicAffectPsychophysiology2019,3.0.5,59.917101460635855,
,,,,,,,,,,,,,,,,,,,,,,,,,4,5.032246135990135,,,100,001,2019_Sep_03_1412,MusicAffectPsychophysiology2019,3.0.5,59.917101460635855,
To what extent did the music make you feel ,GUILTY,,,,,,0,0,0,5,,,,,,,,,,,,,,,,,1,3.149212557997089,100,001,2019_Sep_03_1412,MusicAffectPsychophysiology2019,3.0.5,59.917101460635855,
To what extent did the music make you feel ,SCARED,,,,,,0,1,1,11,,,,,,,,,,,,,,,,,1,2.0171746689884458,100,001,2019_Sep_03_1412,MusicAffectPsychophysiology2019,3.0.5,59.917101460635855,
To what extent did the music make you feel ,ANGRY,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,1,1.051824782975018,100,001,2019_Sep_03_1412,MusicAffectPsychophysiology2019,3.0.5,59.917101460635855,
To what extent did the music make you feel ,EXCITED,,,,,,0,3,3,7,,,,,,,,,,,,,,,,,2,1.5521088919776957,100,001,2019_Sep_03_1412,MusicAffectPsychophysiology2019,3.0.5,59.917101460635855,
To what extent did the music make you feel ,FRUSTRATED,,,,,,0,4,4,3,,,,,,,,,,,,,,,,,1,0.8309693879855331,100,001,2019_Sep_03_1412,MusicAffectPsychophysiology2019,3.0.5,59.917101460635855,
To what extent did the music make you feel ,ACTIVE,,,,,,0,5,5,9,,,,,,,,,,,,,,,,,2,5.868834235006943,100,001,2019_Sep_03_1412,MusicAffectPsychophysiology2019,3.0.5,59.917101460635855,
To what extent did the music make you feel ,ALERT,,,,,,0,6,6,8,,,,,,,,,,,,,,,,,2,2.4023766519967467,100,001,2019_Sep_03_1412,MusicAffectPsychophysiology2019,3.0.5,59.917101460635855,
To what extent did the music make you feel ,ASHAMED,,,,,,0,7,7,4,,,,,,,,,,,,,,,,,1,0.9363941519986838,100,001,2019_Sep_03_1412,MusicAffectPsychophysiology2019,3.0.5,59.917101460635855,
To what extent did the music make you feel ,ANXIOUS ,,,,,,0,8,8,1,,,,,,,,,,,,,,,,,1,0.8835675719892606,100,001,2019_Sep_03_1412,MusicAffectPsychophysiology2019,3.0.5,59.917101460635855,
To what extent did the music make you feel ,HAPPY,,,,,,0,9,9,6,,,,,,,,,,,,,,,,,3,1.702577896998264,100,001,2019_Sep_03_1412,MusicAffectPsychophysiology2019,3.0.5,59.917101460635855,
To what extent did the music make you feel ,SAD,,,,,,0,10,10,0,,,,,,,,,,,,,,,,,1,4.101800712000113,100,001,2019_Sep_03_1412,MusicAffectPsychophysiology2019,3.0.5,59.917101460635855,
To what extent did the music make you feel ,TENDER,,,,,,0,11,11,10,,,,,,,,,,,,,,,,,3,3.43665367399808,100,001,2019_Sep_03_1412,MusicAffectPsychophysiology2019,3.0.5,59.917101460635855,
To what extent did the music make you feel ,FRUSTRATED,30MonoWAV/30MonoH1.wav,2,2,1,5,,,,,0,0,0,4,0,0,0,3,,,3,4.119536385987885,3,2.384789253002964,4,1.9195083809900098,1,1.9902439390134532,100,001,2019_Sep_03_1412,MusicAffectPsychophysiology2019,3.0.5,59.917101460635855,
To what extent did the music make you feel ,SAD,30MonoWAV/30MonoH1.wav,2,2,1,5,,,,,0,0,0,4,0,1,1,0,,,,,,,,,1,0.6686506849946454,100,001,2019_Sep_03_1412,MusicAffectPsychophysiology2019,3.0.5,59.917101460635855,
To what extent did the music make you feel ,ALERT,30MonoWAV/30MonoH1.wav,2,2,1,5,,,,,0,0,0,4,0,2,2,8,,,,,,,,,2,1.3354056129755918,100,001,2019_Sep_03_1412,MusicAffectPsychophysiology2019,3.0.5,59.917101460635855,
To what extent did the music make you feel ,TENDER,30MonoWAV/30MonoH1.wav,2,2,1,5,,,,,0,0,0,4,0,3,3,10,,,,,,,,,1,1.3713645499956328,100,001,2019_Sep_03_1412,MusicAffectPsychophysiology2019,3.0.5,59.917101460635855,
To what extent did the music make you feel ,ASHAMED,30MonoWAV/30MonoH1.wav,2,2,1,5,,,,,0,0,0,4,0,4,4,4,,,,,,,,,1,0.7501678300031926,100,001,2019_Sep_03_1412,MusicAffectPsychophysiology2019,3.0.5,59.917101460635855,
To what extent did the music make you feel ,ANGRY,30MonoWAV/30MonoH1.wav,2,2,1,5,,,,,0,0,0,4,0,5,5,2,,,,,,,,,1,0.8169936669874005,100,001,2019_Sep_03_1412,MusicAffectPsychophysiology2019,3.0.5,59.917101460635855,
