Instruction,Word,song,valence,arousal,affectcat,songmark,pracwords.thisRepN,pracwords.thisTrialN,pracwords.thisN,pracwords.thisIndex,songtrials.thisRepN,songtrials.thisTrialN,songtrials.thisN,songtrials.thisIndex,words.thisRepN,words.thisTrialN,words.thisN,words.thisIndex,begin.keys,begin.rt,arousalkey.keys,arousalkey.rt,valencekey.keys,valencekey.rt,likekey.keys,likekey.rt,WordResponse.keys,WordResponse.rt,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,space,15.903281930019148,,,,,,,,,,,121,001,2019_Oct_23_1626,MusicAffectPsychophysiology2019,3.0.5,None,
,,,,,,,,,,,,,,,,,,,,,3,12.08623279700987,,,,,,,,,121,001,2019_Oct_23_1626,MusicAffectPsychophysiology2019,3.0.5,None,
,,,,,,,,,,,,,,,,,,,,,,,1,5.918643988028634,,,,,,,121,001,2019_Oct_23_1626,MusicAffectPsychophysiology2019,3.0.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,1,5.685659630049486,,,,,121,001,2019_Oct_23_1626,MusicAffectPsychophysiology2019,3.0.5,None,
To what extent did the music make you feel ,HAPPY,,,,,,0,0,0,6,,,,,,,,,,,,,,,,,1,3.3442590630147606,,,121,001,2019_Oct_23_1626,MusicAffectPsychophysiology2019,3.0.5,None,
To what extent did the music make you feel ,ACTIVE,,,,,,0,1,1,9,,,,,,,,,,,,,,,,,2,5.635335846978705,,,121,001,2019_Oct_23_1626,MusicAffectPsychophysiology2019,3.0.5,None,
To what extent did the music make you feel ,ASHAMED,,,,,,0,2,2,4,,,,,,,,,,,,,,,,,1,3.6700601970078424,,,121,001,2019_Oct_23_1626,MusicAffectPsychophysiology2019,3.0.5,None,
To what extent did the music make you feel ,GUILTY,,,,,,0,3,3,5,,,,,,,,,,,,,,,,,1,1.225256250007078,,,121,001,2019_Oct_23_1626,MusicAffectPsychophysiology2019,3.0.5,None,
To what extent did the music make you feel ,ANXIOUS ,,,,,,0,4,4,1,,,,,,,,,,,,,,,,,4,4.784715101995971,,,121,001,2019_Oct_23_1626,MusicAffectPsychophysiology2019,3.0.5,None,
To what extent did the music make you feel ,FRUSTRATED,,,,,,0,5,5,3,,,,,,,,,,,,,,,,,4,1.4259861579630524,,,121,001,2019_Oct_23_1626,MusicAffectPsychophysiology2019,3.0.5,None,
To what extent did the music make you feel ,ALERT,,,,,,0,6,6,8,,,,,,,,,,,,,,,,,4,2.5173298899899237,,,121,001,2019_Oct_23_1626,MusicAffectPsychophysiology2019,3.0.5,None,
To what extent did the music make you feel ,SCARED,,,,,,0,7,7,11,,,,,,,,,,,,,,,,,1,2.9692056830390356,,,121,001,2019_Oct_23_1626,MusicAffectPsychophysiology2019,3.0.5,None,
To what extent did the music make you feel ,EXCITED,,,,,,0,8,8,7,,,,,,,,,,,,,,,,,1,1.3696174810174853,,,121,001,2019_Oct_23_1626,MusicAffectPsychophysiology2019,3.0.5,None,
To what extent did the music make you feel ,ANGRY,,,,,,0,9,9,2,,,,,,,,,,,,,,,,,3,2.886095378024038,,,121,001,2019_Oct_23_1626,MusicAffectPsychophysiology2019,3.0.5,None,
To what extent did the music make you feel ,SAD,,,,,,0,10,10,0,,,,,,,,,,,,,,,,,1,1.834917909000069,,,121,001,2019_Oct_23_1626,MusicAffectPsychophysiology2019,3.0.5,None,
To what extent did the music make you feel ,TENDER,,,,,,0,11,11,10,,,,,,,,,,,,,,,,,1,1.319327341974713,,,121,001,2019_Oct_23_1626,MusicAffectPsychophysiology2019,3.0.5,None,
To what extent did the music make you feel ,EXCITED,30MonoWAV/30MonoF4.wav,1,2,2,4,,,,,0,0,0,3,0,0,0,7,,,2,15.83180253795581,2,3.7516703589935787,2,4.816189892007969,1,2.1666986490017734,,,121,001,2019_Oct_23_1626,MusicAffectPsychophysiology2019,3.0.5,None,
To what extent did the music make you feel ,HAPPY,30MonoWAV/30MonoF4.wav,1,2,2,4,,,,,0,0,0,3,0,1,1,6,,,,,,,,,1,1.8168233329779468,,,121,001,2019_Oct_23_1626,MusicAffectPsychophysiology2019,3.0.5,None,
To what extent did the music make you feel ,ALERT,30MonoWAV/30MonoF4.wav,1,2,2,4,,,,,0,0,0,3,0,2,2,8,,,,,,,,,3,2.8510481159901246,,,121,001,2019_Oct_23_1626,MusicAffectPsychophysiology2019,3.0.5,None,
To what extent did the music make you feel ,FRUSTRATED,30MonoWAV/30MonoF4.wav,1,2,2,4,,,,,0,0,0,3,0,3,3,3,,,,,,,,,1,2.3528248809743673,,,121,001,2019_Oct_23_1626,MusicAffectPsychophysiology2019,3.0.5,None,
