"","participant","song","valence_target","arousal_target","affectcat","songmark","word","songtrials_this_trial_n","rep_number","trial_number","arousal_rating","valence_rating","liking","emotion_rating","emotion_target","anxious","ashamed","scared","alert","angry","happy","active","sad","guilty","tender","frustrated","excited","na"
"1","001","30MonoWAV/30MonoH1.wav","positive","high",1,5,"ANXIOUS",0,0,0,5,5,NA,1,"happy",1,1,1,2,1,5,4,1,1,2,1,5,NA
"2","001","30MonoWAV/30MonoT4.wav","positive","low",4,16,"EXCITED",1,0,1,2,2,NA,2,"tender",3,4,1,1,1,3,2,4,4,5,1,2,NA
"3","001","30MonoWAV/30MonoF3.wav","negative","high",2,3,"ACTIVE",2,0,2,3,2,NA,3,"fear",3,1,3,3,1,2,3,1,2,1,1,3,NA
"4","001","30MonoWAV/30MonoS2.wav","negative","low",3,10,"ALERT",3,0,3,2,2,NA,1,"sad",4,4,4,1,2,2,1,5,5,4,2,1,NA
"5","001","30MonoWAV/30MonoS1.wav","negative","low",3,9,"SCARED",4,0,4,2,2,NA,4,"sad",4,3,4,3,2,1,1,2,3,2,2,1,NA
"6","001","30MonoWAV/30MonoT2.wav","positive","low",4,14,"HAPPY",5,0,5,3,3,NA,3,"tender",3,1,1,3,1,3,3,2,2,2,1,4,NA
"7","001","30MonoWAV/30MonoT3.wav","positive","low",4,15,"EXCITED",6,0,6,3,4,NA,3,"tender",1,1,1,1,1,5,2,2,1,2,1,3,NA
"8","001","30MonoWAV/30MonoH3.wav","positive","high",1,7,"ALERT",7,0,7,4,4,NA,4,"happy",2,1,1,4,1,3,4,1,1,1,2,3,NA
"9","001","30MonoWAV/30MonoF1.wav","negative","high",2,1,"SCARED",8,0,8,1,1,NA,5,"fear",5,1,5,5,3,1,4,3,1,4,1,1,NA
"10","001","30MonoWAV/30MonoH4.wav","positive","high",1,8,"SCARED",9,0,9,4,4,NA,1,"happy",1,1,1,3,1,4,4,1,1,2,1,4,NA
"11","001","30MonoWAV/30MonoF4.wav","negative","high",2,4,"ALERT",10,0,10,3,2,NA,4,"fear",5,1,3,4,1,1,4,1,3,3,1,4,NA
"12","001","30MonoWAV/30MonoS4.wav","negative","low",3,12,"SAD",11,0,11,2,2,NA,4,"sad",3,4,4,2,1,1,1,4,4,2,2,1,NA
"13","001","30MonoWAV/30MonoT1.wav","positive","low",4,13,"HAPPY",12,0,12,3,3,NA,3,"tender",2,1,1,3,1,3,3,2,2,3,1,3,NA
